Model,accuracy,precision,recall,f1,auc
HGB,0.9780,0.9765,0.9780,0.9740,0.9994
HGB,0.9782,0.9772,0.9782,0.9743,0.9994
HGB,0.9783,0.9767,0.9783,0.9745,0.9994
HGB,0.9782,0.9764,0.9782,0.9743,0.9994
HGB,0.9781,0.9771,0.9781,0.9741,0.9994
XGBoost,0.9427,0.9048,0.9427,0.9221,0.9860
XGBoost,0.9420,0.9042,0.9420,0.9214,0.9857
XGBoost,0.9426,0.9047,0.9426,0.9219,0.9860
XGBoost,0.9428,0.9049,0.9428,0.9222,0.9856
XGBoost,0.9442,0.9061,0.9442,0.9236,0.9858
LogReg,0.9710,0.9663,0.9710,0.9677,0.9982
LogReg,0.9710,0.9663,0.9710,0.9676,0.9983
LogReg,0.9712,0.9671,0.9712,0.9679,0.9984
LogReg,0.9711,0.9667,0.9711,0.9679,0.9983
LogReg,0.9712,0.9668,0.9712,0.9679,0.9983
