,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,535.0000
Backdoor,0.0000,0.0000,0.0000,359.0000
DoS,0.0000,0.0000,0.0000,3271.0000
Exploits,0.0000,0.0000,0.0000,8905.0000
Fuzzers,0.0000,0.0000,0.0000,4849.0000
Generic,1.0000,0.8182,0.9000,43096.0000
Normal,0.9389,1.0000,0.9685,443860.0000
Reconnaissance,0.0000,0.0000,0.0000,2798.0000
Shellcode,0.0000,0.0000,0.0000,302.0000
Worms,0.0000,0.0000,0.0000,35.0000
accuracy,0.9431,0.9431,0.9431,0.9431
macro avg,0.1939,0.1818,0.1868,508010.0000
weighted avg,0.9052,0.9431,0.9225,508010.0000
